node1,node2
ORG2,ORG3
ORG5,ORG1
ORG4,ORG3
ORG5,ORG4
6,ORG5
7,ORG1
8,ORG1
8,ORG3
9,ORG4
10,ORG5
10,ORG1
11,ORG4
12,ORG4
13,ORG1
14,ORG3
15,ORG3
16,ORG4
17,ORG1
18,ORG4
19,ORG4
20,ORG4
21,ORG1
22,ORG4
23,ORG4
24,ORG1
25,ORG1
26,ORG1
27,ORG5
27,ORG1
28,ORG1
29,ORG4
30,ORG1
31,ORG1
31,ORG2
31,ORG3
32,ORG5
33,ORG4
34,ORG1
35,ORG1
36,ORG2
37,ORG2
38,ORG4
38,ORG5
39,ORG3
40,ORG2
41,ORG1
41,ORG3
42,ORG4
43,ORG2
44,ORG4
45,ORG5
45,ORG1
46,ORG1
47,ORG4
48,ORG5
49,ORG4
50,ORG2
51,ORG4
52,ORG4
53,ORG1
54,ORG4
55,ORG1
55,ORG3
56,ORG3
57,ORG4
58,ORG2
59,ORG1
60,ORG3
61,ORG4
62,ORG1
63,ORG4
64,ORG1
65,ORG1
66,ORG4
67,ORG4
68,ORG4
69,ORG4
70,ORG1
71,ORG1
72,ORG4
73,ORG1
74,ORG2
75,ORG4
76,ORG1
77,ORG3
78,ORG4
79,ORG4
80,ORG1
81,ORG4
82,ORG1
83,ORG4
84,ORG1
84,ORG3
85,ORG4
86,ORG1
87,ORG4
88,ORG4
89,ORG2
89,ORG3
90,ORG4
91,ORG1
92,ORG1
93,ORG1
94,ORG1
95,ORG4
96,ORG1
97,ORG4
98,ORG2
99,ORG3
100,ORG4
101,ORG3
102,ORG1
103,ORG1
104,ORG4
105,ORG2
105,ORG3
106,ORG4
106,ORG1
106,ORG2
107,ORG1
108,ORG4
109,ORG1
110,ORG1
111,ORG4
112,ORG5
113,ORG4
114,ORG1
115,ORG1
116,ORG1
117,ORG1
118,ORG3
119,ORG1
120,ORG1
121,ORG4
122,ORG1
123,ORG5
124,ORG2
125,ORG4
125,ORG1
126,ORG4
126,ORG1
126,ORG2
126,ORG3
127,ORG4
128,ORG4
129,ORG4
129,ORG5
130,ORG3
131,ORG1
132,ORG4
133,ORG4
134,ORG2
135,ORG1
136,ORG1
136,ORG3
